brand,model,condition,warranty,screen_size,processor,ram,card,hard_driver,made_in,information,hard_driver_kind,price
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,256 GB,US,In trên bao bì,SSD,7000000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),6,15 - 16.9 inch,Intel Core i7,16 GB,Onboard,512 GB,US,In trên bao bì,SSD,11900000
Asus,FX Series/ZX Series,Đã sử dụng (chưa sửa chữa),0,15 - 16.9 inch,Ryzen 7,16 GB,NVIDIA,512 GB,VietNam,In trên bao bì,SSD,9999000
Apple,MacBook Air,Đã sử dụng (chưa sửa chữa),0,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,US,In trên bao bì,SSD,5500000
Apple,MacBook Air M1,Đã sử dụng (chưa sửa chữa),0,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,US,In trên bao bì,,12000000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,,12900000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,256 GB,US,In trên bao bì,SSD,14900000
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),12,13 - 14.9 inch,Ryzen 5,16 GB,Onboard,256 GB,US,In trên bao bì,SSD,9100000
MSI,W Series,Đã sử dụng (chưa sửa chữa),6,15 - 16.9 inch,Intel Core i9,32 GB,NVIDIA,512 GB,US,In trên bao bì,SSD,20500000
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),0,13 - 14.9 inch,Ryzen 7,16 GB,Onboard,512 GB,US,In trên bao bì,SSD,15000000
Acer,Nitro 5,Đã sử dụng (chưa sửa chữa),0,15 - 16.9 inch,Intel Core i5,8 GB,NVIDIA,128 GB,ThaiLand,In trên bao bì,SSD,4500000
Lenovo,Legion Y Series,Mới,12,15 - 16.9 inch,Intel Core i9,16 GB,NVIDIA,1 TB,US,In trên bao bì,SSD,51000000
Asus,ROG Strix Scar,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,,10800000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,US,In trên bao bì,SSD,3900000
Hãng khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),1,11 - 12.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Japan,In trên bao bì,SSD,3300000
Hãng khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),0,13 - 14.9 inch,Intel Core i5,8 GB,NVIDIA,250 GB,Trung Quốc,In trên bao bì,SSD,4850000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,,5800000
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,256 GB,US,In trên bao bì,SSD,5200000
Asus,TUF Gaming,Đã sử dụng (chưa sửa chữa),3,17 - 18.9 inch,Intel Core i5,16 GB,NVIDIA,512 GB,Taiwan,In trên bao bì,SSD,12800000
Apple,MacBook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),0,15 - 16.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Other,In trên bao bì,SSD,9500000
Apple,MacBook Pro M1,Đã sử dụng (chưa sửa chữa),3,15 - 16.9 inch,Intel Core i5,16 GB,Onboard,1 TB,US,In trên bao bì,SSD,37500000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,,4700000
HP,ZBook,Đã sử dụng (chưa sửa chữa),3,15 - 16.9 inch,Intel Core i7,32 GB,NVIDIA,1 TB,US,In trên bao bì,SSD,21500000
Asus,VivoBook Seriers,Đã sử dụng (chưa sửa chữa),6,15 - 16.9 inch,Intel Core i5,8 GB,Onboard,512 GB,Other,In trên bao bì,SSD,8990000
Apple,MacBook Air,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,,3800000
Asus,VivoBook Seriers,Đã sử dụng (chưa sửa chữa),0,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,512 GB,VietNam,In trên bao bì,SSD,8000000
Asus,VivoBook Seriers,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,,4500000
Asus,TUF Gaming,Đã sử dụng (chưa sửa chữa),0,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,512 GB,VietNam,In trên bao bì,SSD,13650000
MSI,GF Series,Đã sử dụng (chưa sửa chữa),6,15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,512 GB,VietNam,In trên bao bì,SSD,9500000
Apple,MacBook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),3,15 - 16.9 inch,Intel Core i9,32 GB,AMD,1 TB,Unknown,In trên bao bì,SSD,18900000
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),1,15 - 16.9 inch,Intel Core i5,4 GB,NVIDIA,500 GB,US,In trên bao bì,HDD,1800000
Microsoft,Surface Pro 8,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,,19900000
Asus,TUF Gaming,Đã sử dụng (chưa sửa chữa),3,15 - 16.9 inch,Intel Core i5,8 GB,NVIDIA,512 GB,US,In trên bao bì,SSD,15900000
Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),6,17 - 18.9 inch,Intel Core i7,8 GB,Onboard,256 GB,US,In trên bao bì,SSD,6900000
Dell,Latitude,Đã sử dụng (qua sửa chữa),0,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,US,In trên bao bì,SSD,2600000
Dell,Precision,Đã sử dụng (chưa sửa chữa),3,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,1 TB,US,In trên bao bì,SSD,17900000
Microsoft,Surface Laptop,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i7,32 GB,Onboard,1 TB,VietNam,In trên bao bì,SSD,180000000
Apple,MacBook Pro,Đã sử dụng (qua sửa chữa),0,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,VietNam,In trên bao bì,SSD,3800000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,SSD,4700000
Sony,Vaio Series,Đã sử dụng (qua sửa chữa),3,11 - 12.9 inch,Intel Core i5,8 GB,NVIDIA,500 GB,US,In trên bao bì,HDD,700000
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),0,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,,12500000
HP,Victus,Đã sử dụng (chưa sửa chữa),3,15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,512 GB,VietNam,In trên bao bì,SSD,12900000
Hãng khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,,800000
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,SSD,1900000
Dell,G Series,Mới,12,15 - 16.9 inch,Intel Core i9,16 GB,NVIDIA,1 TB,US,In trên bao bì,SSD,32000000
Microsoft,Surface,Mới,12,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,1 TB,US,In trên bao bì,SSD,36000000
Apple,MacBook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),3,15 - 16.9 inch,Intel Core i9,32 GB,AMD,512 GB,US,In trên bao bì,SSD,17900000
Apple,MacBook Pro M1,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,512 GB,US,In trên bao bì,SSD,28500000
Apple,MacBook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,,8800000
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),3,15 - 16.9 inch,Intel Core i7,16 GB,AMD,512 GB,US,In trên bao bì,SSD,13900000
Dell,Precision,Đã sử dụng (chưa sửa chữa),3,15 - 16.9 inch,Intel Core i9,32 GB,NVIDIA,1 TB,US,In trên bao bì,SSD,20500000
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),0,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,VietNam,In trên bao bì,SSD,3800000
MSI,GF Series,Đã sử dụng (chưa sửa chữa),3,15 - 16.9 inch,Intel Core i5,16 GB,NVIDIA,256 GB,VietNam,In trên bao bì,SSD,10500000
Acer,Nitro 5,Đã sử dụng (chưa sửa chữa),3,15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,512 GB,US,In trên bao bì,SSD,15900000
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),0,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,VietNam,In trên bao bì,SSD,4500000
Acer,Nitro 5,Đã sử dụng (chưa sửa chữa),3,15 - 16.9 inch,Ryzen 5,8 GB,NVIDIA,512 GB,US,In trên bao bì,SSD,13900000
Asus,TUF Gaming,Đã sử dụng (chưa sửa chữa),3,15 - 16.9 inch,Intel Core i5,16 GB,NVIDIA,512 GB,US,In trên bao bì,SSD,14900000
Dell,XPS,Đã sử dụng (qua sửa chữa),0,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,US,In trên bao bì,SSD,11500000
HP,Dòng Khác,Đã sử dụng (chưa sửa chữa),3,17 - 18.9 inch,Intel Core i5,4 GB,Onboard,250 GB,VietNam,In trên bao bì,SSD,850000
Apple,Macbook Pro M3,Đã sử dụng (chưa sửa chữa),3,15 - 16.9 inch,Intel Core i5,32 GB,AMD,1 TB,Unknown,In trên bao bì,SSD,65000000
Asus,X Series,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i3,8 GB,Onboard,256 GB,VietNam,In trên bao bì,SSD,3999999
HP,Elitebook,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,6 GB,Onboard,128 GB,Unknown,In trên bao bì,SSD,600000
Lenovo,Legion Y Series,Mới,3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Trung Quốc,In trên bao bì,,80000000
HP,Envy,Mới,1,15 - 16.9 inch,Intel Core i5,16 GB,Onboard,512 GB,US,In trên bao bì,SSD,14800000
HP,Elitebook,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,256 GB,US,In trên bao bì,SSD,6700000
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,,5900000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,512 GB,US,In trên bao bì,SSD,9200000
Asus,VivoBook Seriers,Đã sử dụng (chưa sửa chữa),0,15 - 16.9 inch,AMD,16 GB,AMD,512 GB,Trung Quốc,In trên bao bì,SSD,9000000
Microsoft,Dòng khác,Mới,3,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,256 GB,US,In trên bao bì,SSD,26500000
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),0,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,256 GB,Unknown,In trên bao bì,SSD,6800000
Samsung,Galaxy Book,Mới,3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,VietNam,In trên bao bì,,14800000
Apple,MacBook Air M1,Đã sử dụng (chưa sửa chữa),0,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,VietNam,In trên bao bì,SSD,13500000
Microsoft,Surface Laptop,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,512 GB,US,In trên bao bì,SSD,10000000
Dell,Latitude,Mới,3,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,256 GB,Japan,In trên bao bì,SSD,6200000
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,256 GB,Unknown,In trên bao bì,,7000000
